Field,Type,Null,Key,Default,Extra
UID,int,NO,PRI,NULL,auto_increment
年月,varchar(7),NO,,NULL,
訂單編號,char(18),YES,,NULL,
商品ID,char(18),YES,,NULL,
商品名稱,char(50),YES,,NULL,
訂購數量,int,YES,,NULL,
進貨單價,int,YES,,NULL,
商品小計,int,YES,,NULL,
建立時間,datetime,NO,,NULL,
